CalYear,FinYear,TypeOfIncident,PropertyType,PropertyCategory,IsBariatric,SpecialServiceTypeCategory,SpecialServiceType,WardCode,WardName,BoroughCode,BoroughName,StnGroundName,Postcode,PumpCount,PumpMinutesRounded,Notional Cost (£)
2022,2022/23,Special Service,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05011111,PECKHAM RYE,E09000028,SOUTHWARK,New Cross,SE15,1,60,364
2015,2015/16,Special Service,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05013813,Cricket Green,E09000024,MERTON,Mitcham,CR4,1,60,298
2014,2014/15,Special Service,Road surface/pavement ,Outdoor,1,Assist other agencies,Assist ambulance with over weight person,E05013716,Brockley,E09000023,Lewisham,Lewisham,SE4,1,60,295
2018,2017/18,Special Service,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05013801,Marylebone,E09000033,WESTMINSTER,Euston,W1U,2,90,492
2019,2019/20,Special Service,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,Unknown,Unknown,Unknown,Unknown,Surrey,TW18,1,60,339
2022,2022/23,Special Service,House - single occupancy ,Dwelling,1,Medical Incident,Medical incident - Breathing difficulties / Respiratory arrest ,E05013818,LONGTHORNTON,E09000024,MERTON,Norbury,SW16,2,229,1389
2023,2023/24,Special Service,Converted Flat/Maisonettes - 3 or more storeys,Dwelling,1,No action (not false alarm),Service not required,E05013795,HARROW ROAD,E09000033,WESTMINSTER,North Kensington,W9,1,60,388
2021,2021/22,Special Service,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Dwelling,1,Medical Incident,Medical incident - Lift person ,E05014108,Oval,E09000022,LAMBETH,Lambeth,SW8,1,60,352
2023,2022/23,Special Service,Car ,Road Vehicle,1,RTC,Road traffic collision - Make vehicle safe,E05009333,SPITALFIELDS & BANGLATOWN,E09000030,TOWER HAMLETS,Whitechapel,E1,2,60,364
2021,2021/22,Special Service,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05014086,"Mottingham, Coldharbour & New Eltham",E09000011,GREENWICH,Eltham,SE9,1,68,399
2018,2018/19,Special Service,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05013994,Clock House,E09000006,BROMLEY,Beckenham,BR3,2,74,411
2021,2021/22,Special Service,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05014078,Eltham Park & Progress,E09000011,GREENWICH,Eltham,SE9,1,60,352
2023,2023/24,Special Service,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05013943,ST. MARK'S & SEETHING WELLS,E09000021,KINGSTON UPON THAMES,Surbiton,KT6,1,70,453
2023,2022/23,Special Service,Retirement/Old Persons Home,Other Residential,1,Assist other agencies,Assist ambulance with over weight person,E05013641,GARDEN SUBURB,E09000003,BARNET,Finchley,NW11,1,60,364
2019,2019/20,Special Service,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05013668,Regent's Park,E09000007,CAMDEN,Euston,NW1,1,60,339
2020,2020/21,Special Service,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05013987,Beckenham Town & Copers Cope,E09000006,BROMLEY,Beckenham,BR3,2,136,784
2022,2022/23,Special Service,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05009373,HACKNEY DOWNS,E09000012,HACKNEY,Stoke Newington,E5,1,60,364
2024,2024/25,Special Service,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05014089,SHOOTERS HILL,E09000011,GREENWICH,Plumstead,SE18,2,60,430
2023,2023/24,Special Service,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Dwelling,1,No action (not false alarm),Service not required,E05013798,LANCASTER GATE,E09000033,WESTMINSTER,Paddington,W2,1,66,427
2022,2022/23,Special Service,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05014116,STREATHAM WELLS,E09000022,LAMBETH,Tooting,SW16,2,219,1329
2022,2022/23,Special Service,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05013730,RUSHEY GREEN,E09000023,LEWISHAM,Forest Hill,SE6,1,60,364
2009,2009/10,Special Service,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Dwelling,1,Assist other agencies,Other assistance to police/ambulance,E05014055,Barking Riverside,E09000002,Barking and Dagenham,Barking,IG11,1,91,394
2021,2021/22,Special Service,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,Unknown,Unknown,Unknown,Unknown,Surrey,KT19,1,60,352
2020,2020/21,Special Service,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05011236,BRIDGE,E09000026,REDBRIDGE,Woodford,IG8,1,60,346
2009,2009/10,Special Service,House - single occupancy ,Dwelling,1,Assist other agencies,Other assistance to police/ambulance,E05013926,Wall End,E09000025,Newham,East Ham,E6,1,60,260
2023,2023/24,Special Service,House - single occupancy ,Dwelling,1,Medical Incident,Medical incident - Lift person ,E05013550,HEADSTONE,E09000015,HARROW,Harrow,HA2,1,60,388
2022,2022/23,Special Service,House - single occupancy ,Dwelling,1,Effecting entry/exit,Effecting entry/exit - To medical case,E05014023,TOOTING BEC,E09000032,WANDSWORTH,Tooting,SW17,1,61,370
2021,2021/22,Special Service,House - single occupancy ,Dwelling,1,Effecting entry/exit,Effecting entry/exit - To medical case,E05013999,Kelsey & Eden Park,E09000006,BROMLEY,Woodside,BR3,1,60,352
2023,2022/23,Special Service,Self contained Sheltered Housing ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05011235,BARKINGSIDE,E09000026,REDBRIDGE,Ilford,IG4,1,60,364
2021,2021/22,Special Service,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05013815,Graveney,E09000024,MERTON,Mitcham,CR4,1,60,352
2023,2023/24,Special Service,Converted Flat/Maisonettes - 3 or more storeys,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05013722,FOREST HILL,E09000023,LEWISHAM,Forest Hill,SE23,1,60,388
2024,2024/25,Special Service,Converted Flat/Maisonettes - 3 or more storeys,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05013663,KENTISH TOWN NORTH,E09000007,CAMDEN,Kentish Town,NW5,2,94,674
2017,2016/17,Special Service,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05013598,Seven Sisters,E09000014,HARINGEY,Tottenham,N15,1,60,326
2020,2020/21,Special Service,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05011488,WEST THORNTON,E09000008,CROYDON,Norbury,CR0,2,148,853
2024,2024/25,Special Service,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05011464,BENSHAM MANOR,E09000008,CROYDON,Norbury,CR7,2,60,430
2023,2023/24,Special Service,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05009387,WOODBERRY DOWN,E09000012,HACKNEY,Holloway,N4,1,60,388
2023,2023/24,Special Service,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05013770,WALLINGTON NORTH,E09000029,SUTTON,Wallington,SM5,1,60,388
2024,2023/24,Special Service,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,Unknown,Unknown,Unknown,Unknown,Surrey,TW15,1,60,388
2013,2013/14,Special Service,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05011231,Slade Green & Northend,E09000004,Bexley,Erith,DA8,1,60,290
2021,2021/22,Special Service,Converted Flat/Maisonettes - 3 or more storeys,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05009308,PORTSOKEN,E09000001,CITY OF LONDON,Whitechapel,E1,1,60,352
2016,2016/17,Special Service,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05013664,Kentish Town South,E09000007,CAMDEN,Kentish Town,NW5,2,60,326
2020,2020/21,Special Service,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05011097,CHAMPION HILL,E09000028,SOUTHWARK,Peckham,SE5,1,102,588
2014,2014/15,Special Service,Converted Flat/Maisonettes - 3 or more storeys,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05009401,Queen's Gate,E09000020,Kensington and Chelsea,Kensington,SW7,1,60,295
2023,2022/23,Special Service,Restaurant/cafe,Non Residential,1,Assist other agencies,Assist ambulance with over weight person,E05013628,BARNET VALE,E09000003,BARNET,Barnet,EN5,1,60,364
2021,2021/22,Special Service,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05013890,Hatch Lane & Highams Park North,E09000031,WALTHAM FOREST,Chingford,E4,1,60,352
2011,2011/12,Special Service,House - single occupancy ,Dwelling,1,Assist other agencies,Other assistance to police/ambulance,E05013989,Biggin Hill,E09000006,Bromley,Biggin Hill,TN16,1,108,468
2013,2013/14,Special Service,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05013969,Elm Park,E09000016,Havering,Hornchurch,RM12,1,67,324
2024,2023/24,Special Service,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05013709,MILDMAY,E09000019,ISLINGTON,Islington,N5,1,60,388
2019,2019/20,Special Service,House - single occupancy ,Dwelling,1,Effecting entry/exit,Effecting entry - Other action,E05014002,Penge & Cator,E09000006,BROMLEY,Beckenham,BR3,1,60,339
2023,2023/24,Special Service,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05011220,BLACKFEN & LAMORBEY,E09000004,BEXLEY,Sidcup,DA15,2,60,388
2011,2011/12,Special Service,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Dwelling,1,Assist other agencies,Other assistance to police/ambulance,E05011115,St. Giles,E09000028,Southwark,Peckham,SE5,1,65,282
2023,2023/24,Special Service,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05013644,HIGH BARNET,E09000003,BARNET,Barnet,EN5,1,60,388
2019,2019/20,Special Service,Road surface/pavement ,Outdoor,1,Assist other agencies,Assist ambulance with over weight person,E05014009,Balham,E09000032,WANDSWORTH,Tooting,SW12,1,60,339
2024,2024/25,Special Service,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Dwelling,1,Assist other agencies,Other assistance to police/ambulance,E05013694,UPPER EDMONTON,E09000010,ENFIELD,Edmonton,N18,1,60,430
2022,2022/23,Special Service,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05011226,FALCONWOOD & WELLING,E09000004,BEXLEY,Eltham,DA16,1,60,364
2021,2021/22,Special Service,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05013757,Carshalton South & Clockhouse,E09000029,SUTTON,Wallington,SM5,1,60,352
2021,2021/22,Special Service,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05013818,Longthornton,E09000024,MERTON,Norbury,SW16,1,60,352
2013,2012/13,Special Service,House - single occupancy ,Dwelling,1,Assist other agencies,Assistance to other agencies,E05013512,Tokyngton,E09000005,Brent,Wembley,HA9,1,60,260
2023,2023/24,Special Service,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05014062,GORESBROOK,E09000002,BARKING AND DAGENHAM,Dagenham,RM9,1,60,388
2024,2024/25,Special Service,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05011478,SANDERSTEAD,E09000008,CROYDON,Purley,CR6,1,60,430
2024,2023/24,Special Service,House - single occupancy ,Dwelling,1,Assist other agencies,Other assistance to police/ambulance,E05011116,SOUTH BERMONDSEY,E09000028,SOUTHWARK,Old Kent Road,SE1,1,60,388
2016,2015/16,Special Service,House - single occupancy ,Dwelling,1,Medical Incident - Co-responder,Medical Co-responder: Lift person,E05014061,Gascoigne,E09000002,BARKING AND DAGENHAM,Barking,IG11,1,60,298
2015,2015/16,Special Service,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05013994,Clock House,E09000006,BROMLEY,Beckenham,SE20,1,60,298
2022,2022/23,Special Service,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05014092,WOOLWICH ARSENAL,E09000011,GREENWICH,Plumstead,SE18,1,60,364
2019,2018/19,Special Service,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05013813,Cricket Green,E09000024,MERTON,Mitcham,CR4,1,87,483
2024,2023/24,Special Service,Road surface/pavement ,Outdoor,1,Assist other agencies,Assist ambulance with over weight person,E05013967,BEAM PARK,E09000016,HAVERING,Wennington,RM13,1,72,466
2014,2014/15,Special Service,Converted Flat/Maisonette - Up to 2 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05014025,Trinity,E09000032,Wandsworth,Tooting,SW17,1,60,295
2023,2023/24,Special Service,Licensed House in Multiple Occupation - Up to 2 storeys ,Dwelling,1,Assist other agencies,Other assistance to police/ambulance,E05009369,CLISSOLD,E09000012,HACKNEY,Stoke Newington,N16,1,94,608
2021,2021/22,Special Service,Bungalow - single occupancy ,Dwelling,1,Medical Incident,Medical incident - Lift person ,E05011219,BEXLEYHEATH,E09000004,BEXLEY,Bexley,DA7,1,63,370
2022,2022/23,Special Service,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Dwelling,1,Medical Incident,Medical incident - Lift person ,E05009399,NOTTING DALE,E09000020,KENSINGTON AND CHELSEA,North Kensington,W11,1,60,364
2014,2014/15,Special Service,Converted Flat/Maisonette - Up to 2 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05013737,Coningham,E09000013,Hammersmith and Fulham,Hammersmith,W12,1,62,305
2011,2011/12,Special Service,House - single occupancy ,Dwelling,1,Medical Incident,Medical incident - Lift person ,E05014058,Chadwell Heath,E09000002,Barking and Dagenham,Dagenham,RM6,1,60,260
2024,2024/25,Special Service,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05013633,COLINDALE SOUTH,E09000003,BARNET,Mill Hill,NW9,1,60,430
2023,2022/23,Special Service,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05014067,PARSLOES,E09000002,BARKING AND DAGENHAM,Barking,RM8,2,96,582
2023,2023/24,Special Service,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05013757,CARSHALTON SOUTH & CLOCKHOUSE,E09000029,SUTTON,Wallington,SM5,1,60,388
2022,2022/23,Special Service,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05013682,Haselbury,E09000010,ENFIELD,Edmonton,N18,1,60,364
2022,2022/23,Special Service,Other car park structure,Non Residential,1,Assist other agencies,Assist ambulance with over weight person,E05013942,OLD MALDEN,E09000021,KINGSTON UPON THAMES,New Malden,KT4,1,60,364
2024,2023/24,Special Service,House - single occupancy ,Dwelling,1,Assist other agencies,Other assistance to police/ambulance,E05014085,MIDDLE PARK & HORN PARK,E09000011,GREENWICH,Eltham,SE9,1,60,388
2023,2023/24,Special Service,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05013980,RUSH GREEN & CROWLANDS,E09000016,HAVERING,Romford,RM7,1,61,394
2019,2019/20,Special Service,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05011101,DULWICH WOOD,E09000028,SOUTHWARK,Forest Hill,SE22,1,60,339
2021,2021/22,Special Service,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,Unknown,Unknown,Unknown,Unknown,Essex,IG7,1,60,352
2013,2013/14,Special Service,House - single occupancy ,Dwelling,1,Medical Incident,Medical incident - Lift person ,E05013590,Harringay,E09000014,Haringey,Hornsey,N8,1,60,290
2018,2018/19,Special Service,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Dwelling,1,Removal of objects from people,Removal of object from person - limb trapped,E05013895,Lea Bridge,E09000031,WALTHAM FOREST,Leyton,E10,1,60,333
2017,2016/17,Special Service,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05013567,Eastcote,E09000017,HILLINGDON,Ruislip,HA5,1,60,326
2024,2024/25,Special Service,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05013635,EAST BARNET,E09000003,BARNET,Barnet,EN4,1,171,1226
2024,2023/24,Special Service,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05013989,BIGGIN HILL,E09000006,BROMLEY,Biggin Hill,TN16,1,60,388
2024,2023/24,Special Service,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05013613,FELTHAM NORTH,E09000018,HOUNSLOW,Feltham,TW14,1,60,388
2016,2016/17,Special Service,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05013694,Upper Edmonton,E09000010,ENFIELD,Edmonton,N18,2,112,609
2024,2023/24,Special Service,Converted Flat/Maisonette - Up to 2 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05013729,PERRY VALE,E09000023,LEWISHAM,Forest Hill,SE23,1,60,388
2022,2021/22,Special Service,Purpose Built Flats/Maisonettes - 10 or more storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05013607,Brentford East,E09000018,HOUNSLOW,Chiswick,TW8,1,103,604
2013,2013/14,Special Service,Converted Flat/Maisonette - Up to 2 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05013601,Tottenham Central,E09000014,Haringey,Tottenham,N17,1,60,290
2021,2021/22,Special Service,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05013772,Worcester Park North,E09000029,SUTTON,Sutton,KT4,1,61,358
2023,2022/23,Special Service,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05013660,HAVERSTOCK,E09000007,CAMDEN,Kentish Town,NW5,1,60,364
2024,2024/25,Special Service,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05013802,PIMLICO NORTH,E09000033,WESTMINSTER,Lambeth,SW1V,1,60,430
2022,2022/23,Special Service,House - single occupancy ,Dwelling,1,Effecting entry/exit,Effecting entry/exit - To medical case,E05013615,HANWORTH PARK,E09000018,HOUNSLOW,Feltham,TW13,1,60,364
2023,2023/24,Special Service,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05011483,SHIRLEY SOUTH,E09000008,CROYDON,Woodside,CR0,1,60,388
2010,2010/11,Special Service,House - single occupancy ,Dwelling,1,Medical Incident,Medical incident - Lift person ,E05013724,Hither Green,E09000023,Lewisham,Lee Green,SE6,1,60,260
2010,2009/10,Special Service,House - single occupancy ,Dwelling,1,Assist other agencies,Assistance to other agencies,E05014106,Knight's Hill,E09000022,Lambeth,West Norwood,SE27,1,68,295
2016,2016/17,Special Service,Converted Flat/Maisonette - Up to 2 storeys ,Dwelling,1,No action (not false alarm),Service not required,E05013625,Isleworth,E09000018,HOUNSLOW,Heston,TW7,2,60,326
2017,2017/18,Special Service,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Dwelling,1,Medical Incident - Co-responder,Medical Co-responder: Lift person,E05014023,Tooting Bec,E09000032,WANDSWORTH,Tooting,SW17,1,92,503
2024,2024/25,Special Service,House - single occupancy ,Dwelling,1,Medical Incident,Medical incident - Lift person ,E05014069,VALENCE,E09000002,BARKING AND DAGENHAM,Dagenham,RM8,2,60,430
2023,2023/24,Special Service,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05013729,PERRY VALE,E09000023,LEWISHAM,Forest Hill,SE23,1,60,388
2021,2021/22,Special Service,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05009372,HACKNEY CENTRAL,E09000012,HACKNEY,Homerton,E5,2,232,1361
2022,2022/23,Special Service,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05013995,CRYSTAL PALACE & ANERLEY,E09000006,BROMLEY,Woodside,SE20,1,69,419
2020,2020/21,Special Service,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05013660,Haverstock,E09000007,CAMDEN,Kentish Town,NW5,2,86,496
2009,2009/10,Special Service,Purpose Built Flats/Maisonettes - 10 or more storeys ,Dwelling,1,Assist other agencies,Other assistance to police/ambulance,E05014069,Valence,E09000002,Barking and Dagenham,Dagenham,RM8,2,138,598
2024,2024/25,Special Service,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05013788,TEDDINGTON,E09000027,RICHMOND UPON THAMES,Twickenham,TW11,1,60,430
2024,2024/25,Special Service,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05013717,CATFORD SOUTH,E09000023,LEWISHAM,Lewisham,SE6,1,60,430
2024,2024/25,Special Service,Bungalow - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05011222,CRAYFORD,E09000004,BEXLEY,Bexley,DA1,1,60,430
2023,2022/23,Special Service,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05009394,DALGARNO,E09000020,KENSINGTON AND CHELSEA,North Kensington,W10,1,60,364
2020,2020/21,Special Service,House - single occupancy ,Dwelling,1,Assist other agencies,Other assistance to police/ambulance,E05011235,BARKINGSIDE,E09000026,REDBRIDGE,Ilford,IG2,1,60,346
2023,2022/23,Special Service,Purpose Built Flats/Maisonettes - 10 or more storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05011099,DULWICH HILL,E09000028,SOUTHWARK,Forest Hill,SE22,1,60,364
2019,2019/20,Special Service,House - single occupancy ,Dwelling,1,Assist other agencies,Other assistance to police/ambulance,E05013945,Tolworth,E09000021,KINGSTON UPON THAMES,Surbiton,KT6,1,60,339
2022,2022/23,Special Service,Bungalow - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05013635,EAST BARNET,E09000003,BARNET,Barnet,EN4,1,90,546
2019,2019/20,Special Service,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05011228,NORTHUMBERLAND HEATH,E09000004,BEXLEY,Erith,DA17,1,93,525
2010,2010/11,Special Service,Converted Flat/Maisonette - Up to 2 storeys ,Dwelling,1,Other rescue/release of persons,Rescue/Release of persons - From height,E05013580,Uxbridge,E09000017,Hillingdon,Hillingdon,UB8,1,124,537
2022,2022/23,Special Service,Student Hall of Residence ,Other Residential,1,Assist other agencies,Assist ambulance with over weight person,E05011114,ST. GEORGE'S,E09000028,SOUTHWARK,Lambeth,SE11,1,60,364
2010,2010/11,Special Service,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Dwelling,1,Medical Incident,Medical incident - Lift person ,E05013587,Bruce Castle,E09000014,Haringey,Tottenham,N17,1,60,260
2022,2021/22,Special Service,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05013545,Edgware,E09000015,HARROW,Stanmore,HA8,1,60,352
2021,2021/22,Special Service,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05013890,Hatch Lane & Highams Park North,E09000031,WALTHAM FOREST,Chingford,E4,1,60,352
2024,2024/25,Special Service,Converted Flat/Maisonette - Up to 2 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05013592,HIGHGATE,E09000014,HARINGEY,Hornsey,N6,1,60,430
2012,2012/13,Special Service,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05014080,Greenwich Creekside,E09000011,Greenwich,Greenwich,SE10,1,60,260
2017,2017/18,Special Service,Sports/Social club ,Non Residential,1,Assist other agencies,Assist ambulance with over weight person,E05014002,Penge & Cator,E09000006,BROMLEY,Beckenham,BR3,1,60,328
2021,2021/22,Special Service,Retirement/Old Persons Home,Other Residential,1,Medical Incident,Medical incident - Lift person ,E05009370,DALSTON,E09000012,HACKNEY,Homerton,E8,1,99,581
